t,x,y
0.00E+00,-1.42E-03,-4.72E-04
5.02E+00,-9.45E-04,-5.20E-03
1.00E+01,-9.45E-04,-7.08E-03
1.51E+01,-4.72E-04,-9.92E-03
2.01E+01,-8.03E-03,-8.08E-02
2.51E+01,-9.45E-03,-8.88E-02
3.01E+01,-9.92E-03,-9.07E-02
3.51E+01,-9.92E-03,-9.07E-02
4.02E+01,-9.92E-03,-9.07E-02
4.52E+01,-1.18E-02,-1.02E-01
5.02E+01,-1.28E-02,-1.03E-01
5.52E+01,-1.28E-02,-1.03E-01
6.02E+01,-1.70E-02,-1.17E-01
6.53E+01,-1.65E-02,-1.14E-01
7.03E+01,-1.65E-02,-1.14E-01
7.53E+01,-1.65E-02,-1.14E-01
8.03E+01,-1.94E-02,-1.22E-01
8.53E+01,-2.13E-02,-1.26E-01
9.04E+01,-2.13E-02,-1.26E-01
9.54E+01,-2.13E-02,-1.26E-01
1.00E+02,-2.36E-02,-1.32E-01
1.05E+02,-2.55E-02,-1.35E-01
1.10E+02,-2.55E-02,-1.35E-01
1.15E+02,-2.55E-02,-1.36E-01
1.20E+02,-2.98E-02,-1.43E-01
1.26E+02,-2.98E-02,-1.43E-01
1.31E+02,-2.98E-02,-1.44E-01
1.36E+02,-3.02E-02,-1.45E-01
1.41E+02,-3.31E-02,-1.52E-01
1.46E+02,-3.40E-02,-1.55E-01
1.51E+02,-3.40E-02,-1.55E-01
1.56E+02,-3.40E-02,-1.55E-01
1.61E+02,-3.59E-02,-1.58E-01
1.66E+02,-3.87E-02,-1.62E-01
1.71E+02,-3.87E-02,-1.62E-01
1.76E+02,-3.87E-02,-1.62E-01
1.81E+02,-4.25E-02,-1.69E-01
1.86E+02,-4.25E-02,-1.69E-01
1.91E+02,-4.25E-02,-1.69E-01
1.96E+02,-4.35E-02,-1.70E-01
2.01E+02,-4.68E-02,-1.76E-01
2.06E+02,-4.82E-02,-1.79E-01
2.11E+02,-4.72E-02,-1.77E-01
2.16E+02,-4.72E-02,-1.77E-01
2.21E+02,-5.20E-02,-1.85E-01
2.26E+02,-5.20E-02,-1.85E-01
2.31E+02,-5.29E-02,-1.85E-01
2.36E+02,-5.34E-02,-1.86E-01
2.41E+02,-5.67E-02,-1.91E-01
2.46E+02,-5.90E-02,-1.95E-01
2.51E+02,-5.95E-02,-1.95E-01
2.56E+02,-6.05E-02,-1.96E-01
2.61E+02,-6.33E-02,-2.03E-01
2.66E+02,-6.61E-02,-2.03E-01
2.71E+02,-6.61E-02,-2.04E-01
2.76E+02,-6.66E-02,-2.05E-01
2.81E+02,-6.85E-02,-2.06E-01
2.86E+02,-7.18E-02,-2.11E-01
2.91E+02,-7.32E-02,-2.11E-01
2.96E+02,-7.37E-02,-2.13E-01
3.01E+02,-7.84E-02,-2.19E-01
3.06E+02,-8.17E-02,-2.22E-01
3.11E+02,-8.41E-02,-2.24E-01
3.16E+02,-8.88E-02,-2.30E-01
